Gene: TRAK2; ID:  66008
Gene: VPS4A; ID:  27183
Gene: VPS4B; ID:  9525
Gene: RAB5C; ID:  5878
Gene: MIB2; ID:  142678
Gene: GOLT1B; ID:  51026
Gene: ATP6AP2; ID:  10159
Gene: RAB7A; ID:  7879
Gene: CHMP4B; ID:  128866
Gene: AP1G2; ID:  8906
Gene: TFG; ID:  10342
Gene: IQGAP3; ID:  128239
Gene: CDH1; ID:  999
Gene: USP47; ID:  55031
Gene: NF2; ID:  4771
Gene: PLEKHA3; ID:  65977
Gene: CSDE1; ID:  7812
Gene: HAL; ID:  3034
Gene: ERRFI1; ID:  54206
Gene: APBB1; ID:  322
Gene: PRNP; ID:  5621
Gene: LRP1; ID:  4035
Gene: TFCP2; ID:  7024
Gene: ABL1; ID:  25
Gene: LRP2; ID:  4036
Gene: CLSTN1; ID:  22883
Gene: EVL; ID:  51466
Gene: KAT5; ID:  10524
Gene: ENAH; ID:  55740
Gene: VASP; ID:  7408
Gene: FASLG; ID:  356
Gene: APP; ID:  351
Gene: APLP1; ID:  333
Gene: APLP2; ID:  334
Gene: EGFR; ID:  1956
Gene: ERBB2; ID:  2064
Gene: ATXN1L; ID:  342371
Gene: TSHZ3; ID:  57616
Gene: TSHZ1; ID:  10194
Gene: HDAC1; ID:  3065
Gene: ABI1; ID:  10006
Gene: PQBP1; ID:  10084
Gene: DIAPH2; ID:  1730
Gene: DIAPH1; ID:  1729
Gene: DHX9; ID:  1660
Gene: DHX15; ID:  1665
Gene: DDX3X; ID:  1654
Gene: SF3A1; ID:  10291
Gene: SF3B4; ID:  10262
Gene: SFPQ; ID:  6421
Gene: KHDRBS1; ID:  10657
Gene: DDX17; ID:  10521
Gene: CHERP; ID:  10523
Gene: RPL4; ID:  6124
Gene: RBM17; ID:  84991
Gene: PABPC1; ID:  26986
Gene: CYFIP2; ID:  26999
Gene: WASL; ID:  8976
Gene: SF3B2; ID:  10992
Gene: SF3A3; ID:  10946
Gene: DDX46; ID:  9879
Gene: THRAP3; ID:  9967
Gene: HNRNPK; ID:  3190
Gene: HNRNPH1; ID:  3187
Gene: CPSF7; ID:  79869
Gene: PTBP1; ID:  5725
Gene: U2AF2; ID:  11338
Gene: WBP11; ID:  51729
Gene: CPSF6; ID:  11052
Gene: CCDC97; ID:  90324
Gene: CYFIP1; ID:  23191
Gene: SF1; ID:  7536
Gene: WAS; ID:  7454
Gene: WIPF1; ID:  7456
Gene: SF3B3; ID:  23450
Gene: SF3B1; ID:  23451
Gene: KHSRP; ID:  8570
Gene: WIPF2; ID:  147179
Gene: HTATSF1; ID:  27336
Gene: SET; ID:  6418
Gene: SF3A2; ID:  8175
Gene: YLPM1; ID:  56252
Gene: NONO; ID:  4841
Gene: YBX1; ID:  4904
Gene: ANXA1; ID:  301
Gene: NOTCH1; ID:  4851
Gene: NEDD4L; ID:  23327
Gene: NEDD8; ID:  4738
Gene: CUL4B; ID:  8450
Gene: SART3; ID:  9733
Gene: SLAMF7; ID:  57823
Gene: QTRT1; ID:  81890
Gene: MGRN1; ID:  23295
Gene: THBS3; ID:  7059
Gene: APBB2; ID:  323
Gene: PCGF6; ID:  84108
Gene: TMEM17; ID:  200728
Gene: TMEM216; ID:  51259
Gene: CEP44; ID:  80817
Gene: CEP104; ID:  9731
Gene: NEURL4; ID:  84461
Gene: SYDE1; ID:  85360
Gene: BLM; ID:  641
Gene: JAG1; ID:  182
Gene: SETX; ID:  23064
Gene: SYP; ID:  6855
Gene: HERC2; ID:  8924
Gene: NEURL1; ID:  9148
Gene: TAMM41; ID:  132001
Gene: DCAKD; ID:  79877
Gene: LMO2; ID:  4005
Gene: PBK; ID:  55872
Gene: ARAF; ID:  369
Gene: DLG1; ID:  1739
Gene: TRIM37; ID:  4591
Gene: GPS2; ID:  2874
Gene: SMAD4; ID:  4089
Gene: CCNB1; ID:  891
Gene: GPRASP1; ID:  9737
Gene: CEP126; ID:  57562
Gene: TP53; ID:  7157
Gene: RAF1; ID:  5894
Gene: VOPP1; ID:  81552
Gene: MBP; ID:  4155
Gene: GPRASP2; ID:  114928
Gene: CDK1; ID:  983
Gene: H2AFX; ID:  3014
Gene: LNX1; ID:  84708
Gene: E2F4; ID:  1874
Gene: CSNK2A2; ID:  1459
Gene: TERT; ID:  7015
Gene: PRDX1; ID:  5052
Gene: NEFH; ID:  4744
Gene: MYL6; ID:  4637
Gene: MYH9; ID:  4627
Gene: ACTBL2; ID:  345651
Gene: RPL38; ID:  6169
Gene: RPL37; ID:  6167
Gene: RPL36A; ID:  6173
Gene: RPL23A; ID:  6147
Gene: RPL19; ID:  6143
Gene: RPL22; ID:  6146
Gene: RPL29; ID:  6159
Gene: RPL24; ID:  6152
Gene: RPS6; ID:  6194
Gene: RPS4X; ID:  6191
Gene: RPS3; ID:  6188
Gene: RPS11; ID:  6205
Gene: RPS14; ID:  6208
Gene: RPS17; ID:  6218
Gene: RPS16; ID:  6217
Gene: RPS23; ID:  6228
Gene: RPS24; ID:  6229
Gene: RPS19; ID:  6223
Gene: RPS18; ID:  6222
Gene: RPS29; ID:  6235
Gene: RPS27A; ID:  6233
Gene: RPS25; ID:  6230
Gene: PRSS3; ID:  5646
Gene: HRNR; ID:  388697
Gene: RBBP4; ID:  5928
Gene: RBBP7; ID:  5931
Gene: VIM; ID:  7431
Gene: PGAP1; ID:  80055
Gene: SRPRA; ID:  6734
Gene: USP5; ID:  8078
Gene: PRDX3; ID:  10935
Gene: SUB1; ID:  10923
Gene: RPL23; ID:  9349
Gene: RPL35; ID:  11224
Gene: ATXN2L; ID:  11273
Gene: HIST4H4; ID:  121504
Gene: CSNK2A1; ID:  1457
Gene: CSNK2B; ID:  1460
Gene: TUBB; ID:  203068
Gene: DSC1; ID:  1823
Gene: DSG1; ID:  1828
Gene: DSP; ID:  1832
Gene: NUDT21; ID:  11051
Gene: GFAP; ID:  2670
Gene: FAU; ID:  2197
Gene: LRRC47; ID:  57470
Gene: DCD; ID:  117159
Gene: ACACA; ID:  31
Gene: JUP; ID:  3728
Gene: HP; ID:  3240
Gene: HSPA1A; ID:  3303
Gene: HSPA8; ID:  3312
Gene: HSP90AA1; ID:  3320
Gene: HSP90AB1; ID:  3326
Gene: HBB; ID:  3043
Gene: HBA1; ID:  3039
Gene: HIST1H1C; ID:  3006
Gene: H1F0; ID:  3005
Gene: HIST1H1E; ID:  3008
Gene: HNRNPH3; ID:  3189
Gene: HNRNPU; ID:  3192
Gene: STRN3; ID:  29966
Gene: LGALS9B; ID:  284194
Gene: MSL1; ID:  339287
Gene: DOK4; ID:  55715
Gene: ZBTB26; ID:  57684
Gene: ARRDC1; ID:  92714
Gene: ZFP64; ID:  55734
Gene: LGALS9; ID:  3965
Gene: NXF1; ID:  10482
Gene: PTEN; ID:  5728
Gene: SRC; ID:  6714
Gene: TRMT2A; ID:  27037
Gene: FGB; ID:  2244
Gene: TGIF2LY; ID:  90655
Gene: ZNF414; ID:  84330
Gene: RHOBTB3; ID:  22836
Gene: FAM19A3; ID:  284467
Gene: SNRNP27; ID:  11017
Gene: CHFR; ID:  55743
Gene: VPS16; ID:  64601
Gene: STX7; ID:  8417
Gene: VPS18; ID:  57617
Gene: VPS11; ID:  55823
Gene: VPS33A; ID:  65082
Gene: UVRAG; ID:  7405
Gene: MON1B; ID:  22879
Gene: AKTIP; ID:  64400
Gene: HOOK2; ID:  29911
Gene: HOOK3; ID:  84376
Gene: TSR1; ID:  55720
Gene: WAPL; ID:  23063
Gene: TNPO1; ID:  3842
Gene: VPS41; ID:  27072
Gene: CT55; ID:  54967
Gene: PKNOX1; ID:  5316
Gene: RILP; ID:  83547
Gene: TGFBRAP1; ID:  9392
Gene: ACVR1B; ID:  91
Gene: MRPL54; ID:  116541
Gene: TTC31; ID:  64427
Gene: MRPS15; ID:  64960
Gene: VPS8; ID:  23355
Gene: HARS2; ID:  23438
Gene: PTK2; ID:  5747
Gene: PSMB6; ID:  5694
Gene: MRPS17; ID:  51373
Gene: C1QTNF6; ID:  114904
Gene: MTOR; ID:  2475
Gene: CFH; ID:  3075
Gene: NTRK1; ID:  4914
Gene: IPO7; ID:  10527
Gene: ATP9A; ID:  10079
Gene: ZNF800; ID:  168850
Gene: ESRP2; ID:  80004
Gene: PIAS1; ID:  8554
Gene: PRPF40A; ID:  55660
Gene: RIOK2; ID:  55781
Gene: KIAA1191; ID:  57179
Gene: STX17; ID:  55014
Gene: EPHA1; ID:  2041
Gene: MOCS3; ID:  27304
Gene: FAM167A; ID:  83648
Gene: LYPD4; ID:  147719
Gene: TECPR2; ID:  9895
Gene: MTMR7; ID:  9108
Gene: QRICH2; ID:  84074
Gene: SSSCA1; ID:  10534
Gene: SNAI1; ID:  6615
Gene: MPDU1; ID:  9526
Gene: GAPDH; ID:  2597
Gene: PANK2; ID:  80025
Gene: MAGEB2; ID:  4113
Gene: TSSC1; ID:  7260
Gene: HOXA9; ID:  3205
Gene: TRIP6; ID:  7205
Gene: PLSCR1; ID:  5359
Gene: RBPMS; ID:  11030
Gene: NFKBIA; ID:  4792
Gene: JUN; ID:  3725
Gene: CREBBP; ID:  1387
Gene: SMAD2; ID:  4087
Gene: MEIS1; ID:  4211
Gene: MEIS2; ID:  4212
Gene: PBX1; ID:  5087
Gene: PBX2; ID:  5089
Gene: PBX3; ID:  5090
Gene: CUL4A; ID:  8451
Gene: PRMT5; ID:  10419
Gene: SUZ12; ID:  23512
Gene: PTBP3; ID:  9991
Gene: HOXB13; ID:  10481
Gene: ELK1; ID:  2002
Gene: ALX4; ID:  60529
Gene: IRF4; ID:  3662
Gene: HOXD4; ID:  3233
Gene: POU2F1; ID:  5451
Gene: ZNF490; ID:  57474
Gene: RNF2; ID:  6045
Gene: EED; ID:  8726
Gene: FOXC2; ID:  2303
Gene: FOXS1; ID:  2307
Gene: FOXG1; ID:  2290
Gene: FOXE1; ID:  2304
Gene: FOXA2; ID:  3170
Gene: TEAD2; ID:  8463
Gene: FOXF1; ID:  2294
Gene: IL1A; ID:  3552
Gene: CAPN1; ID:  823
Gene: IL1R1; ID:  3554
Gene: IL1R2; ID:  7850
Gene: S100A13; ID:  6284
Gene: NDN; ID:  4692
Gene: IL1RAP; ID:  3556
Gene: NFKBIE; ID:  4794
Gene: HAX1; ID:  10456
Gene: CASP1; ID:  834
Gene: SHARPIN; ID:  81858
Gene: MEOX2; ID:  4223
Gene: KPNA6; ID:  23633
Gene: C10orf10; ID:  11067
Gene: KRT19; ID:  3880
Gene: KRT15; ID:  3866
Gene: CCDC85B; ID:  11007
Gene: USHBP1; ID:  83878
Gene: QKI; ID:  9444
Gene: MYCBP; ID:  26292
Gene: TRIM23; ID:  373
Gene: FAAH; ID:  2166
Gene: MME; ID:  4311
Gene: NOTCH2NL; ID:  388677
Gene: GATA1; ID:  2623
Gene: SPI1; ID:  6688
Gene: FLI1; ID:  2313
Gene: ZFPM2; ID:  23414
Gene: MED1; ID:  5469
Gene: HDAC5; ID:  10014
Gene: ZBTB16; ID:  7704
Gene: CEBPE; ID:  1053
Gene: STAT3; ID:  6774
Gene: MAPK1; ID:  5594
Gene: MAPK3; ID:  5595
Gene: HEY1; ID:  23462
Gene: ZFPM1; ID:  161882
Gene: AKT1; ID:  207
Gene: HSPA4; ID:  3308
Gene: CASP3; ID:  836
Gene: ZNF521; ID:  25925
Gene: HDAC3; ID:  8841
Gene: HDAC4; ID:  9759
Gene: ARID1A; ID:  8289
Gene: SMARCA4; ID:  6597
Gene: SMARCC2; ID:  6601
Gene: SMARCC1; ID:  6599
Gene: SMARCD1; ID:  6602
Gene: SMARCE1; ID:  6605
Gene: SMARCB1; ID:  6598
Gene: TAL1; ID:  6886
Gene: SP1; ID:  6667
Gene: MED14; ID:  9282
Gene: MED17; ID:  9440
Gene: TRIM29; ID:  23650
Gene: TRIM25; ID:  7706
Gene: TAX1BP3; ID:  30851
Gene: RAI1; ID:  10743
Gene: IKZF1; ID:  10320
Gene: ZZZ3; ID:  26009
Gene: NME1; ID:  4830
Gene: ZBTB22; ID:  9278
Gene: SKI; ID:  6497
Gene: TAF7; ID:  6879
Gene: MAPK6; ID:  5597
Gene: SUMO1; ID:  7341
Gene: SRA1; ID:  10011
Gene: SPIB; ID:  6689
Gene: FRS3; ID:  10817
Gene: KRTAP10-5; ID:  386680
Gene: FBF1; ID:  85302
Gene: HOXA1; ID:  3198
Gene: DHX36; ID:  170506
Gene: KRTAP9-2; ID:  83899
Gene: HEXIM2; ID:  124790
Gene: CCDC24; ID:  149473
Gene: RADIL; ID:  55698
Gene: RIN3; ID:  79890
Gene: TNS2; ID:  23371
Gene: PML; ID:  5371
Gene: EP300; ID:  2033
Gene: HEMGN; ID:  55363
Gene: LZTS2; ID:  84445
Gene: MDFI; ID:  4188
Gene: KRTAP3-2; ID:  83897
Gene: DNMT3L; ID:  29947
Gene: UBXN7; ID:  26043
Gene: UBR1; ID:  197131
Gene: CUL1; ID:  8454
Gene: CUL2; ID:  8453
Gene: VHL; ID:  7428
Gene: CUL3; ID:  8452
Gene: NPLOC4; ID:  55666
Gene: UFD1L; ID:  7353
Gene: PLAA; ID:  9373
Gene: HIF1A; ID:  3091
Gene: BRWD3; ID:  254065
Gene: UBR2; ID:  23304
Gene: SKP1; ID:  6500
Gene: KLHL22; ID:  84861
Gene: AMFR; ID:  267
Gene: UBR4; ID:  23352
Gene: WDR26; ID:  80232
Gene: ELOB; ID:  6923
Gene: PJA2; ID:  9867
Gene: BIRC2; ID:  329
Gene: BRWD1; ID:  54014
Gene: KLHL12; ID:  59349
Gene: KLHDC2; ID:  23588
Gene: KLHDC3; ID:  116138
Gene: KBTBD7; ID:  84078
Gene: KLHL13; ID:  90293
Gene: RBX1; ID:  9978
Gene: UBR5; ID:  51366
Gene: TOPORS; ID:  10210
Gene: DCAF1; ID:  9730
Gene: ELOC; ID:  6921
Gene: PSMD2; ID:  5708
Gene: KBTBD2; ID:  25948
Gene: WDR11; ID:  55717
Gene: SUMO2; ID:  6613
Gene: ALPP; ID:  250
Gene: SDHAF2; ID:  54949
Gene: ZRANB2; ID:  9406
Gene: VPS26A; ID:  9559
Gene: SULT1A1; ID:  6817
Gene: RAD23B; ID:  5887
Gene: ATP6V1F; ID:  9296
Gene: TTLL12; ID:  23170
Gene: UBE2D1; ID:  7321
Gene: UBE2C; ID:  11065
Gene: NUBP2; ID:  10101
Gene: YAP1; ID:  10413
Gene: UCHL3; ID:  7347
Gene: ZYX; ID:  7791
Gene: UBE2L3; ID:  7332
Gene: ZPR1; ID:  8882
Gene: SRXN1; ID:  140809
Gene: USP9X; ID:  8239
Gene: DPP8; ID:  54878
Gene: UBE4B; ID:  10277
Gene: UBE2B; ID:  7320
Gene: LZTFL1; ID:  54585
Gene: NSUN2; ID:  54888
Gene: ZFYVE19; ID:  84936
Gene: SEC23A; ID:  10484
Gene: OXCT1; ID:  5019
Gene: UBE2D2; ID:  7322
Gene: TYMS; ID:  7298
Gene: UBE2V2; ID:  7336
Gene: UFM1; ID:  51569
Gene: UFC1; ID:  51506
Gene: USP34; ID:  9736
Gene: ATP6V1B2; ID:  526
Gene: MAP3K1; ID:  4214
Gene: KCNK16; ID:  83795
Gene: BTBD9; ID:  114781
Gene: NUAK2; ID:  81788
Gene: SETD7; ID:  80854
Gene: CSTF1; ID:  1477
Gene: CSNK1E; ID:  1454
Gene: VCPIP1; ID:  80124
Gene: ERCC3; ID:  2071
Gene: ASPSCR1; ID:  79058
Gene: FAM189B; ID:  10712
Gene: ATG9A; ID:  79065
Gene: FAM91A1; ID:  157769
Gene: XKRX; ID:  402415
Gene: KCTD13; ID:  253980
Gene: RNF111; ID:  54778
Gene: UBXN1; ID:  51035
Gene: TCEANC2; ID:  127428
Gene: MORF4L2; ID:  9643
Gene: FAF2; ID:  23197
Gene: ABCF1; ID:  23
Gene: KLHDC10; ID:  23008
Gene: NSFL1C; ID:  55968
Gene: TNFAIP1; ID:  7126
Gene: RANBP6; ID:  26953
Gene: ERCC8; ID:  1161
Gene: PHIP; ID:  55023
Gene: FAF1; ID:  11124
Gene: POU3F2; ID:  5454
Gene: PHF6; ID:  84295
Gene: SMURF1; ID:  57154
Gene: KCTD10; ID:  83892
Gene: CSNK1G3; ID:  1456
Gene: RNF138; ID:  51444
Gene: KPNA3; ID:  3839
Gene: KIFC1; ID:  3833
Gene: COLEC10; ID:  10584
Gene: STC2; ID:  8614
Gene: ARL8A; ID:  127829
Gene: TIMP3; ID:  7078
Gene: P3H4; ID:  10609
Gene: PTX3; ID:  5806
Gene: DCP2; ID:  167227
Gene: NUCB2; ID:  4925
Gene: INHBE; ID:  83729
Gene: MCU; ID:  90550
Gene: COLGALT2; ID:  23127
Gene: DNAJB9; ID:  4189
Gene: MIA3; ID:  375056
Gene: FAM127C; ID:  441518
Gene: HSPB3; ID:  8988
Gene: CCDC102B; ID:  79839
Gene: KRT13; ID:  3860
Gene: TADA2A; ID:  6871
Gene: ALAS1; ID:  211
Gene: PEG10; ID:  23089
Gene: C6orf15; ID:  29113
Gene: SYT1; ID:  6857
Gene: SV2B; ID:  9899
Gene: ST8SIA2; ID:  8128
Gene: KLHL34; ID:  257240
Gene: NUDC; ID:  10726
Gene: NUDCD3; ID:  23386
Gene: BAG3; ID:  9531
Gene: BAG1; ID:  573
Gene: STUB1; ID:  10273
Gene: CCT2; ID:  10576
Gene: STIP1; ID:  10963
Gene: HSPA2; ID:  3306
Gene: HSPA6; ID:  3310
Gene: AHCYL1; ID:  10768
Gene: ITPR1; ID:  3708
Gene: HGS; ID:  9146
Gene: JOSD2; ID:  126119
Gene: USP42; ID:  84132
Gene: WDR48; ID:  57599
Gene: SLX4; ID:  84464
Gene: PI4KB; ID:  5298
Gene: SRPK1; ID:  6732
Gene: SRPK2; ID:  6733
Gene: GINS4; ID:  84296
Gene: SNX3; ID:  8724
Gene: TUBB6; ID:  84617
Gene: TAGLN2; ID:  8407
Gene: UBL7; ID:  84993
Gene: STAM; ID:  8027
Gene: TARDBP; ID:  23435
Gene: SERPINH1; ID:  871
Gene: TOM1L2; ID:  146691
Gene: UBA6; ID:  55236
Gene: TXN; ID:  7295
Gene: TTC1; ID:  7265
Gene: SH3BGRL3; ID:  83442
Gene: TPM2; ID:  7169
Gene: TPM1; ID:  7168
Gene: TPD52L2; ID:  7165
Gene: UBA52; ID:  7311
Gene: TLE3; ID:  7090
Gene: TKT; ID:  7086
Gene: CCT5; ID:  22948
Gene: SEPHS1; ID:  22929
Gene: THADA; ID:  63892
Gene: SRSF1; ID:  6426
Gene: SGTA; ID:  6449
Gene: TMOD3; ID:  29766
Gene: SNX12; ID:  29934
Gene: PSAT1; ID:  29968
Gene: TBCA; ID:  6902
Gene: UBQLN4; ID:  56893
Gene: SP100; ID:  6672
Gene: SNRPA; ID:  6626
Gene: SNCG; ID:  6623
Gene: SPR; ID:  6697
Gene: STAT6; ID:  6778
Gene: SHTN1; ID:  57698
Gene: LAGE3; ID:  8270
Gene: UBA2; ID:  10054
Gene: PPP2CA; ID:  5515
Gene: TTC9C; ID:  283237
Gene: PDCD6IP; ID:  10015
Gene: TACC3; ID:  10460
Gene: SUGT1; ID:  10910
Gene: SEC24A; ID:  10802
Gene: PTGES3; ID:  10728
