orphaID	label	genes	n_genes	description	roots
Orphanet:371	Glycogen storage disease due to muscle phosphofructokinase deficiency	PFKM	1	Muscle phosphofructokinase (PFK) deficiency (Tarui's disease), or glycogen storage disease type 7 (GSD7), is a rare form of glycogen storage disease characterized by exertional fatigue and muscular exercise intolerance. It occurs in childhood.	Rare inborn errors of metabolism;Rare genetic neurological disorder;Rare genetic hematologic disease
Orphanet:166100	Stickler syndrome type 3	COL11A2	1	Stickler syndrome type 3 is a rare, genetic, multiple congenital anomalies/dysmorphic syndrome characterized by craniofacial dysmorphism (midface hypoplasia, depressed nasal bridge, small nose with upturned tip, cleft palate, Pierre Robin sequence), bilateral, pronounced sensorineural hearing loss, and skeletal/joint anomalies (including spondyloepiphyseal dysplasia, arthralgia/arthropathy), in the absence of ocular abnormalities.	Genetic otorhinolaryngologic disease;Rare genetic developmental defect during embryogenesis;Rare genetic bone disease
Orphanet:369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	PYGL	1	Liver phosphorylase deficiency, or glycogen storage disease type 6b (Hers' disease, GSD 6b) is a benign and rare form of glycogen storage disease.	Rare genetic hepatic disease;Rare inborn errors of metabolism
Orphanet:166105	FASTKD2-related infantile mitochondrial encephalomyopathy	FASTKD2	1	FASTKD2-related infantile mitochondrial encephalomyopathy is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by infantile-onset encephalomyopathy presenting with developmental delay, slowly progressive hemiplegia, intractable epileptic seizures and asymmetrical brain atrophy with dilatation of the ipsilateral ventricle system. Additional features include optic atrophy, mildly increased plasma and/or CSF lactate and decreased cytochrome c oxidase acitivity in skeletal muscle biopsy.	Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism
Orphanet:447	Paroxysmal nocturnal hemoglobinuria	PIGA	1	Paroxysmal nocturnal hemoglobinuria (PNH) is an acquired clonal hematopoietic stem cell disorder characterized by corpuscular hemolytic anemia, bone marrow failure and frequent thrombotic events.	Rare inborn errors of metabolism;Rare genetic hematologic disease
Orphanet:166108	Intellectual disability, Birk-Barel type	KCNK9	1	Intellectual disability, Birk-Barel type is a rare, genetic, syndromic intellectual disability characterized by congenital central hypotonia, developmental delay, moderate to severe intellectual disability and subtle dysmorphic features which evolve over time (dolichocephaly, myopathic facies, ptosis, short and broad philtrum, tented upper lip vermillion, palatal anomalies, mild micro- and/or retrognathia). Patients present reduced facial movements, lethargy, weak cry, transient neonatal hypoglycemia, severe feeding difficulties and failure to thrive. Dysphagia, particularly of solid food, asthenic body build, joint contractures and scoliosis are additional features.	Rare genetic neurological disorder
Orphanet:166119	Isolated osteopoikilosis	LEMD3	1	NA	Rare genetic developmental defect during embryogenesis;Rare genetic bone disease
Orphanet:166260	Dentinogenesis imperfecta type 2	DSPP	1	Dentinogenesis imperfecta type 2 (DGI-2) is a rare, severe form of dentinogenesis imperfecta (DGI, see this term) and is characterized by weakness and discoloration of all teeth.	Rare genetic odontologic disease
Orphanet:166265	Dentinogenesis imperfecta type 3	DSPP	1	Dentinogenesis imperfecta type 3 (DGI-3) is a rare, severe form of dentinogenesis imperfecta (DGI, see this term) characterized by opalescent primary and permanent teeth, marked attrition, large pulp chambers, multiple pulp exposure and shell teeth radiographically (i.e. teeth which appear hollow due to dentin hypotrophy).	Rare genetic odontologic disease
Orphanet:576	Mucolipidosis type II	GNPTAB	1	Mucolipidosis II (MLII) is a slowly progressive lysosomal disorder characterized by growth retardation, skeletal abnormalities, facial dysmorphism, stiff skin, developmental delay and cardiomegaly.	Rare genetic bone disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism
Orphanet:812	Sialidosis type 1	NEU1	1	Sialidosis type 1 (ST-1) is a very rare lysosomal storage disease, and is the normosomatic form of sialidosis (see this term), characterized by gait abnormalities, progressive visual loss, bilateral macular cherry red spots and myoclonic epilepsy and ataxia, that usually presents in the second to third decade of life.	Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic eye disease
Orphanet:166282	Familial sick sinus syndrome	SCN5A;HCN4;MYH6	3	Sick sinus syndrome is a rare cardiac rhythm disease, usually of the elderly, characterized by electrocardiographic findings of sinus bradycardia, atrial fibrillation, atrial tachycardia sinus arrest, or sino-atrial block, and that manifest with symptoms like syncope, dizziness, palpitations, fatigue, or even heart failure. It results from malfunction of the cardiac conduction system, probably secondary to degenerative fibrosis of nodal tissue in the elderly or secondary to cardiac disorders in younger patients.	Rare genetic cardiac disease
Orphanet:578	Mucolipidosis type IV	MCOLN1	1	Mucolipidosis type IV (ML IV) is a lysosomal storage disease characterised clinically by psychomotor retardation and visual abnormalities including corneal clouding, retinal degeneration, or strabismus.	Rare genetic eye disease;Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism
Orphanet:166286	Porokeratotic eccrine ostial and dermal duct nevus	GJB2	1	NA	Rare genetic tumor
Orphanet:461	Recessive X-linked ichthyosis	STS	1	Recessive X-linked ichthyosis (RXLI) is a genodermatosis belonging to the Mendelian Disorders of Cornification (MeDOC) and characterized by generalized hyperkeratosis and scaling of the skin.	Rare genetic eye disease;Rare genetic skin disease
Orphanet:584	Mucopolysaccharidosis type 7	GUSB	1	A rare, genetic lysosomal storage disease characterized by accumulation of glycosaminoglycans in connective tissue which results in progressive multisystem involvement with severity ranging from mild to severe. The most consistent features include musculoskeletal involvement (particularly dysostosis multiplex, joint restriction, thorax abnormalities, and short stature), limited vocabulary, intellectual disability, coarse facies with a short neck, pulmonary involvement (predominantly decreased pulmonary function), corneal clouding, and cardiac valve disease.	Rare genetic bone disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic eye disease
Orphanet:166412	Hot water reflex epilepsy	SLC1A1	1	Hot water reflex epilepsy is a rare neurologic disease characterized by the onset of generalized or focal seizures following immersion of the head in hot water, or with hot water being poured over the head. Primary generalized tonic-clonic seizures have been reported in rare cases.	Rare genetic neurological disorder
Orphanet:95	Friedreich ataxia	FXN	1	Friedreich ataxia (FRDA) is an inherited neurodegenerative disorder classically characterized by progressive gait and limb ataxia, dysarthria, dysphagia, oculomotor dysfunction, loss of deep tendon reflexes, pyramidal tract signs, scoliosis, and in some, cardiomyopathy, diabetes mellitus, visual loss and defective hearing.	Rare genetic eye disease;Rare genetic cardiac disease;Rare genetic neurological disorder
Orphanet:586	Cystic fibrosis	CFTR;TGFB1;DCTN4;CLCA4;STX1A	5	Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.	Rare genetic hepatic disease;Rare genetic gastroenterological disease;Genetic infertility
Orphanet:550	MELAS	MT-TQ;MT-CO1;MT-CO2;MT-CO3;MT-ND1;MT-ND4;MT-ND5;MT-ND6;MT-TL1;MT-TW;MT-TH;MT-TS1;MT-TS2;MT-TF	14	MELAS (Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke) syndrome is a rare progressive multisystemic disorder characterized by encephalomyopathy, lactic acidosis, and stroke-like episodes. Other features include endocrinopathy, heart disease, diabetes, hearing loss, and neurological and psychiatric manifestations.	Genetic otorhinolaryngologic disease;Rare genetic cardiac disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic neurological disorder;Rare genetic eye disease
Orphanet:269	Facioscapulohumeral dystrophy	DUX4;DUX4L1;FRG1;SMCHD1;SMCHD1	5	Facioscapulohumeral muscular dystrophy (FSHD) is characterized by progressive muscle weakness with focal involvement of the facial, shoulder and limb muscles.	Rare genetic neurological disorder
Orphanet:480	Kearns-Sayre syndrome	MT-ATP8;RRM2B;MT-TL1	3	A rare inborn error of metabolism that is characterized by progressive external ophthalmoplegia (PEO), pigmentary retinitis and an onset before the age of 20 years. Common additional features include deafness, cerebellar ataxia and heart block.	Genetic otorhinolaryngologic disease;Rare genetic cardiac disease;Rare genetic neurological disorder;Rare genetic eye disease;Rare genetic endocrine disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism
Orphanet:163908	Limbic encephalitis with LGI1 antibodies	HLA-DRB1;HLA-DQB1	2	Limbic encephalitis with LGI1 antibodies is a rare neuroimmunological disorder characterized by the onset of cognitive decline, psychiatric disturbances and seizures (distinctively faciobrachial dystonic seizures) in association with detection of LGI1 antibodies in serum or cerebrospinal fluid. Patients may present with confusion, hallucinations, vocalization, paranoia, tangentiality, aggressive outbursts and/or spatial disorientation, as well as obstinate hyponatremia. It is most often non-paraneoplastic, however comorbid tumors, such as small cell lung cancer and thymoma, have been reported.	
Orphanet:551	MERRF	MT-TP;MT-ND5;MT-TL1;MT-TK;MT-RNR1;MT-TQ;MT-TH;MT-TS1;MT-TS2;MT-TF	10	MERRF (Myoclonic Epilepsy with Ragged Red Fibers) syndrome is a mitochondrial encephalomyopathy characterized by myoclonic seizures.	Rare genetic cardiac disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic neurological disorder;Rare genetic eye disease
Orphanet:597	Central core disease	RYR1	1	Central core disease (CCD) is an inherited neuromuscular disorder characterised by central cores on muscle biopsy and clinical features of a congenital myopathy.	Rare genetic neurological disorder
Orphanet:163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	SOX10	1	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease (PCWH) is a systemic disease characterized by the association of the features of Waardenburg-Shah syndrome (WSS) with neurological features of variable severity.	Genetic otorhinolaryngologic disease;Rare genetic gastroenterological disease;Rare genetic developmental defect during embryogenesis;Rare genetic neurological disorder;Rare genetic skin disease
Orphanet:684	Paramyotonia congenita of Von Eulenburg	SCN4A	1	Paramyotonia congenita of Von Eulenburg is characterised by exercise- or cold-induced myotonia and muscle weakness. Prevalence is unknown. The syndrome is nonprogressive and is transmitted as an autosomal dominant trait. It is caused by mutations in the gene encoding the alpha subunit of the type IV voltage-gated sodium channel (SCN4A; 17q23.3).	Rare genetic neurological disorder
Orphanet:163931	Acrodermatitis continua of Hallopeau	IL36RN;AP1S3	2	A rare, genetic, chronic, recurrent, slowly progressive, epidermal disease characterized by small, sterile, pustular eruptions, involving the nails and surrounding skin of the fingers and/or toes, which coalesce and burst, leaving erythematous, atrophic skin where new pustules develop. Onychodystrophy is frequently associated and anonychia and osteolysis are reported in severe cases. Local expansion (to involve the hands, forearms and/or feet) and involvement of mucosal surfaces (e.g. conjunctiva, tongue, urethra) may be observed.	Rare genetic skin disease
Orphanet:163927	Pustulosis palmaris et plantaris	IL36RN;AP1S3	2	NA	Rare genetic skin disease
Orphanet:273	Steinert myotonic dystrophy	DMPK	1	Steinert disease, also known as myotonic dystrophy type 1, is a muscle disease characterized by myotonia and by multiorgan damage that combines various degrees of muscle weakness, arrhythmia and/or cardiac conduction disorders, cataract, endocrine damage, sleep disorders and baldness.	Rare genetic cardiac disease;Rare genetic eye disease;Rare genetic developmental defect during embryogenesis;Rare genetic endocrine disease;Genetic infertility;Rare genetic neurological disorder
Orphanet:163937	X-linked intellectual disability, Najm type	CASK	1	Najm type X-linked intellectual deficit is a rare cerebellar dysgenesis syndrome characterized by variable clinical manifestations ranging from mild intellectual deficit with or without congenital nystagmus, to severe cognitive impairment associated with cerebellar and pontine hypoplasia/atrophy and abnormalities of cortical development.	Rare genetic neurological disorder;Rare genetic eye disease;Rare genetic developmental defect during embryogenesis
Orphanet:614	Thomsen and Becker disease	CLCN1	1	A rare, genetic, skeletal muscle channelopathy characterized by slow muscle relaxation after contraction (myotonia).	Rare genetic neurological disorder
Orphanet:163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	HDAC6	1	X-linked dominant chondrodysplasia Chassaing-Lacombe type is a rare genetic bone disorder characterized by chondrodysplasia, intrauterine growth retardation (IUGR), hydrocephaly and facial dysmorphism in the affected males.	Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis;Rare genetic bone disease
Orphanet:163956	X-linked intellectual disability, Nascimento type	UBE2A	1	X-linked intellectual disability, Nascimento type is a rare X-linked intellectual disability syndrome characterized by intellectual disability (with severe speech impairment), a myxedematous appearance, dysmorphic facial features (including large head, synophrys, prominent supraorbital ridges, almond-shaped and deep-set eyes, large ears, wide mouth with everted lower lip and downturned lip corners), low posterior hairline, short, broad neck, marked general hirsutism and abnormal hair whorls, skin changes (e.g. dry skin or hypopigmented spots), widely spaced nipples, obesity, micropenis, onychodystrophy and seizures.	Rare genetic neurological disorder
Orphanet:324	Fabry disease	GLA	1	Fabry disease (FD) is a progressive, inherited, multisystemic lysosomal storage disease characterized by specific neurological, cutaneous, renal, cardiovascular, cochleo-vestibular and cerebrovascular manifestations.	Rare genetic skin disease;Rare genetic neurological disorder;Rare genetic cardiac disease;Rare genetic developmental defect during embryogenesis;Rare genetic eye disease;Rare inborn errors of metabolism;Rare genetic renal disease
Orphanet:163985	Hyperekplexia-epilepsy syndrome	ARHGEF9	1	A rare, X-linked, syndromic intellectual disability disease characterized by neonatal hypertonia which evolves to hypotonia and an exaggerated startle response (to sudden visual, auditory or tactile stimuli), followed by the development of early-onset, frequently refractory, tonic or myoclonic seizures. Progressive epileptic encephalopathy, intellectual disability, and psychomotor development arrest, with subsecuent decline, may be additionally associated.	Rare genetic neurological disorder
Orphanet:163988	OBSOLETE: Developmental delay-deafness syndrome, Hildebrand type	POU3F4	1	NA	NA
Orphanet:778	Rett syndrome	MECP2	1	Rett syndrome (RTT) is a severe neurodevelopmental disorder affecting the central nervous system.	Rare genetic neurological disorder
Orphanet:307	Juvenile myoclonic epilepsy	ICK;CACNB4;EFHC1;GABRA1;GABRD;KCNQ3;JRK;CLCN2	8	Juvenile myoclonic epilepsy is the most common hereditary idiopathic generalized epilepsy syndrome and is characterized by myoclonic jerks of the upper limbs on awakening, generalized tonic-clonic seizures manifesting during adolescence and triggered by sleep deprivation, alcohol intake, and cognitive activities, and typical absence seizures (30% of cases).	Rare genetic neurological disorder
Orphanet:1941	Juvenile absence epilepsy	EFHC1	1	Juvenile absence epilepsy (JAE) is a genetic epilepsy with onset occurring around puberty. JAE is characterized by sporadic occurrence of absence seizures, frequently associated with a long-life prevalence of generalized tonic-clonic seizures (GTCS) and sporadic myoclonic jerks.	Rare genetic neurological disorder
Orphanet:892	Von Hippel-Lindau disease	VHL	1	Von Hippel-Lindau disease (VHL) is a familial cancer predisposition syndrome associated with a variety of malignant and benign neoplasms, most frequently retinal, cerebellar, and spinal hemangioblastoma, renal cell carcinoma (RCC), and pheochromocytoma.	Inherited cancer-predisposing syndrome;Rare genetic renal disease;Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis;Rare genetic eye disease;Rare genetic endocrine disease;Rare genetic tumor
Orphanet:164736	Familial advanced sleep-phase syndrome	PER3;CSNK1D;PER2	3	Familial advanced sleep-phase syndrome (FASPS) is a very rare circadian rhythm sleep disorder characterized by very early sleep onset and offset possibly resulting in emotional and physical disruptions.	
Orphanet:731	Autosomal recessive polycystic kidney disease	DZIP1L;PKHD1	2	A rare, genetic hepatorenal fibrocystic syndrome characterized by cystic dilatation and ectasia of renal collecting tubules, and a ductal plate malformation of the liver resulting in congenital hepatic fibrosis. Clinical presentation, whilst typically in utero or at birth, is variable and in the most severe cases includes Potter-sequence, oligohydramnios, pulmonary hypoplasia, and massively enlarged echogenic kidneys.	Rare genetic renal disease;Genetic infertility;Rare genetic hepatic disease
Orphanet:138	CHARGE syndrome	SEMA3E;CHD7	2	CHARGE syndrome is a multiple congenital anomaly syndrome characterized by the variable combination of multiple anomalies, mainly Coloboma; Choanal atresia/stenosis; Cranial nerve dysfunction; Characteristic ear anomalies (known as the major 4 C's).	Genetic otorhinolaryngologic disease;Rare genetic renal disease;Rare genetic developmental defect during embryogenesis;Rare genetic gynecological and obstetrical diseases;Rare genetic endocrine disease;Genetic infertility;Rare genetic urogenital disease;Rare genetic eye disease;Rare genetic immune disease;Rare genetic cardiac disease
Orphanet:165805	Familial mesial temporal lobe epilepsy with febrile seizures	CPA6	1	A rare, genetic, familial partial epilepsy disease characterized by simple partial seizures, complex partial seizures and/or secondarily generalized seizures, originating from the inner aspect of the temporal lobe, associated with an antecedant history of febrile seizures, ocurring in various members of a family. Hippocampal abnormalities (e.g. hippocampal sclerosis) may also be associated.	Rare genetic neurological disorder
Orphanet:803	Amyotrophic lateral sclerosis	CCNF;TAF15;EPHA4;ANXA11;C21ORF2;GLE1;NEK1;CHCHD10;DAO;ATXN2;CHMP2B;SOD1;TREM2;VAPB;VCP;NEFH;OPTN;DCTN1;TARDBP;FIG4;FUS;ANG;MATR3;PRPH;PON1;PON2;PON3;SQSTM1;UBQLN2;C9ORF72;PFN1;TBK1;HNRNPA1;PPARGC1A;ERBB4;UNC13A	36	A neurodegenerative disease characterized by progressive muscular paralysis reflecting degeneration of motor neurons in the primary motor cortex, corticospinal tracts, brainstem and spinal cord.	
Orphanet:100	Ataxia-telangiectasia	ATM	1	A rare disorder characterized by the association of severe combined immunodeficiency (affecting mainly the humoral immune response) with progressive cerebellar ataxia. It is characterized by neurological signs, telangiectasia, increased susceptibility to infections and a higher risk of cancer.	Rare genetic skin disease;Inherited cancer-predisposing syndrome;Rare genetic eye disease;Rare genetic developmental defect during embryogenesis;Rare genetic neurological disorder;Rare genetic gynecological and obstetrical diseases;Rare genetic endocrine disease;Rare genetic immune disease
Orphanet:399	Huntington disease	HTT;SLC2A3	2	Huntington disease (HD) is a rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia.	Rare genetic neurological disorder;Rare genetic eye disease
Orphanet:501	Lafora disease	EPM2A;NHLRC1	2	Lafora disease (LD) is a rare, inherited, severe, progressive myoclonic epilepsy characterized by myoclonus and/or generalized seizures, visual hallucinations (partial occipital seizures), and progressive neurological decline.	Rare genetic neurological disorder
Orphanet:166011	Multiple epiphyseal dysplasia, Beighton type	COL2A1	1	Multiple epiphyseal dysplasia, Beighton type is a skeletal dysplasia characterized by epiphyseal dysplasia (usually mild) associated with progressive myopia, retinal thinning, crenated cataracts, conductive deafness, and stubby digits.	Rare genetic bone disease;Rare genetic eye disease;Rare genetic developmental defect during embryogenesis
Orphanet:567	22q11.2 deletion syndrome	TBX1;TBX1;ARVCF;GP1BB;UFD1;COMT;HIRA;JMJD1C;RREB1;SEC24C	10	22q11.2 deletion syndrome (DS) is a chromosomal anomaly which causes a congenital malformation disorder whose common features include cardiac defects, palatal anomalies, facial dysmorphism, developmental delay and immune deficiency.	Genetic otorhinolaryngologic disease;Rare genetic renal disease;Rare genetic developmental defect during embryogenesis;Rare genetic immune disease;Rare genetic cardiac disease;Rare chromosomal anomaly;Rare genetic endocrine disease
Orphanet:232	Sickle cell anemia	HBB	1	Sickle cell anemias are chronic hemolytic diseases that may induce three types of acute accidents: severe anemia, severe bacterial infections, and ischemic vasoocclusive accidents (VOA) caused by sickle-shaped red blood cells obstructing small blood vessels and capillaries. Many diverse complications can occur.	Rare genetic gynecological and obstetrical diseases;Rare genetic endocrine disease;Genetic infertility;Rare genetic hematologic disease;Rare genetic renal disease;Rare genetic neurological disorder;Rare genetic bone disease
Orphanet:165994	Pituitary resistance to thyroid hormone	THRB	1	NA	NA
Orphanet:536	Systemic lupus erythematosus	PXK;CTLA4;TREX1;HLA-DRB1;IL10;MECP2;FCGR3B;C4A;C4B;CR2;BLK;IRF5;PDCD1;PTPN22;STAT4;FCGR2B;DNASE1;BANK1;ITGAM;KIAA0319L;JAZF1;TNIP1;TNFAIP3;UBE2L3;TNFSF4;SPP1;IRAK1;ETS1	28	NA	
Orphanet:166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	COL9A1;COL9A2;COL9A3	3	Multiple epiphyseal dysplasia due to collagen 9 anomaly is a rare primary bone dysplasia disorder characterized by normal or mild short stature, early-onset pain and/or stiffness of the joints (mainly affecting knees but also elbows, wrists, ankles and fingers, with relative sparing of the hips) and early degenerative joint disease. Other skeletal anomalies (incl. varus or valgus deformities, osteochondritis dissecans, abnormal carpal shape, free articular bodies) and mild myopathy have also been reported.	Rare genetic developmental defect during embryogenesis;Rare genetic bone disease
Orphanet:534	Oculocerebrorenal syndrome of Lowe	OCRL	1	Oculocerebrorenal syndrome of Lowe (OCRL) is a multisystem disorder characterized by congenital cataracts, glaucoma, intellectual disabilities, postnatal growth retardation and renal tubular dysfunction with chronic renal failure.	Rare inborn errors of metabolism;Rare genetic renal disease;Ciliopathy;Rare genetic eye disease;Rare genetic neurological disorder
Orphanet:165991	Exercise-induced hyperinsulinism	SLC16A1	1	Exercise-induced hyperinsulinism (EIHI) is a form of diazoxide-sensitive diffuse hyperinsulinism (DHI) characterized by episodes of hypoglycemia induced by exercise due to an inappropriate lactate and pyruvate sensitivity in pancreatic beta-cells.	Rare inborn errors of metabolism;Rare genetic endocrine disease;Rare genetic developmental defect during embryogenesis
Orphanet:652	Multiple endocrine neoplasia type 1	MEN1;CDKN1B;CDKN1A;CDKN2B;CDKN2C	5	Multiple endocrine neoplasia Type 1 (MEN1) is a frequent form of MEN (see this term), a rare inherited cancer syndrome, characterized by the development of neuroendocrine tumors of the parathyroid, pancreas, and anterior pituitary gland, and less commonly the adrenal cortical gland, with other non-endocrine tumors in some patients.	Inherited cancer-predisposing syndrome;Rare genetic endocrine disease;Rare genetic tumor
