,closeness,betweenness,degree,eigenvector
entrez gene/locuslink:856751,0.47432143704993274,0.00019941529837485817,117.0,0.016890560664768753
entrez gene/locuslink:852964,0.4527874301253966,7.344462353227998e-05,62.0,0.008607933625403954
entrez gene/locuslink:850839,0.4558174904942966,8.221852381618383e-05,62.0,0.007993192374407529
entrez gene/locuslink:856216,0.4702282890091786,3.50709899127537e-05,45.0,0.009512551557386353
entrez gene/locuslink:853681,0.4703389830508475,0.00017894938029516574,86.0,0.014524528761277779
entrez gene/locuslink:852025,0.45491803278688525,6.199996037770787e-05,44.0,0.006615416954577729
entrez gene/locuslink:853030,0.4497298919567827,1.1169062731050993e-05,26.0,0.0048652379816747394
entrez gene/locuslink:853767,0.41977729532880453,2.8198371897497322e-05,50.0,0.0052544495696700945
entrez gene/locuslink:853892,0.4703389830508475,0.00021054311997003715,57.0,0.009920552853234867
entrez gene/locuslink:851143,0.4393139841688654,5.3553090122403315e-05,58.0,0.0071439412262406295
entrez gene/locuslink:855476,0.4535068472421881,1.1655565964209063e-05,25.0,0.006008949430761843
entrez gene/locuslink:854827,0.5044180762433729,0.002037664579013465,495.0,0.07084889048997298
entrez gene/locuslink:852512,0.4781810929397686,0.00010256246995901333,63.0,0.01326808815720928
entrez gene/locuslink:851841,0.4754501467438724,0.00011115126901965225,32.0,0.007318707762493622
entrez gene/locuslink:856089,0.4835430784123911,0.00032810048631847443,109.0,0.014272311408554986
entrez gene/locuslink:851097,0.46974921630094046,1.34074132890039e-05,22.0,0.00666200380686741
entrez gene/locuslink:853599,0.45724311541688917,2.6358506375547688e-05,27.0,0.006621914166156854
entrez gene/locuslink:851197,0.45927515132940006,2.2538043193182483e-05,43.0,0.008740370879082198
entrez gene/locuslink:851991,0.46769662921348315,1.437151465699961e-05,22.0,0.006368395504377948
entrez gene/locuslink:855843,0.46036866359447004,1.7045805864156286e-05,39.0,0.009534882126633868
entrez gene/locuslink:853090,0.453781512605042,2.5003044183603165e-05,43.0,0.008141185024900693
entrez gene/locuslink:853354,0.4439013552543879,1.102918662130339e-05,15.0,0.004272711123282964
entrez gene/locuslink:856412,0.4542285541073052,2.5343515516842764e-05,55.0,0.015007580669483428
entrez gene/locuslink:850297,0.4680252986647927,2.226268185588183e-05,48.0,0.011984369292854135
entrez gene/locuslink:854428,0.45612967049691805,0.0005303779320481941,103.0,0.012291099918967045
entrez gene/locuslink:851748,0.46755070202808113,8.460258103324574e-05,60.0,0.013937458792665313
entrez gene/locuslink:853563,0.46360894114007273,3.7290472726592895e-06,8.0,0.005659104635479137
entrez gene/locuslink:855599,0.46974921630094046,6.270367331188388e-05,97.0,0.020128628676574674
entrez gene/locuslink:850872,0.4853048336167112,0.00032447113796900504,181.0,0.04129786481985386
entrez gene/locuslink:853373,0.44851840766237655,9.392866659265578e-06,22.0,0.004836264983948703
entrez gene/locuslink:851576,0.4489551344468579,1.550791633350227e-05,26.0,0.005451249202634395
entrez gene/locuslink:854019,0.40112427223449104,5.1897744907759265e-06,18.0,0.0029339146279364213
entrez gene/locuslink:852100,0.4495949594959496,2.1779699050254354e-05,44.0,0.007142720191141246
entrez gene/locuslink:851415,0.4974686695991369,0.0006742660572245443,211.0,0.03776863387888192
entrez gene/locuslink:854791,0.4817940680009645,0.0006955080531396619,277.0,0.03991398881742786
entrez gene/locuslink:853011,0.47405884213856375,3.365949936304736e-05,50.0,0.01614532298506872
entrez gene/locuslink:853098,0.47715331953510587,1.3893466353761163e-05,45.0,0.01429010658183674
entrez gene/locuslink:852888,0.4673319819117418,1.5950527429168267e-05,47.0,0.010617949041573359
entrez gene/locuslink:855974,0.4717827626918536,0.00012208408800565003,121.0,0.022265924287229476
entrez gene/locuslink:854999,0.47044972922062633,0.0004746599214866847,178.0,0.027822289602513706
entrez gene/locuslink:854322,0.4821816426675247,0.0003218909971260671,139.0,0.028743282548671954
entrez gene/locuslink:856042,0.4517636418450407,1.3755245854315243e-05,31.0,0.007179267807780955
entrez gene/locuslink:855243,0.4702651812333281,0.00010442292827898943,54.0,0.01242665212548591
entrez gene/locuslink:851882,0.46114786890290815,5.620554785522463e-05,20.0,0.005863787033913308
entrez gene/locuslink:856695,0.4523090854210685,9.71542557721745e-06,15.0,0.004444053712985128
entrez gene/locuslink:850693,0.4573826783670355,5.9094724955653545e-06,13.0,0.006495308594957363
entrez gene/locuslink:851453,0.4447247366078053,7.998453877651958e-06,14.0,0.004836661873944636
entrez gene/locuslink:851099,0.4626785025086839,1.4451661836233542e-05,21.0,0.007134822593600396
entrez gene/locuslink:854123,0.42258883248730966,3.2304202761996776e-05,38.0,0.004901158014753641
entrez gene/locuslink:851969,0.4720800189021029,4.964387054545691e-05,80.0,0.022124759434091566
entrez gene/locuslink:851893,0.47219158657633525,4.5648783054659886e-05,51.0,0.014588324283894866
entrez gene/locuslink:853419,0.4583269613090687,8.446323580635055e-05,97.0,0.021146667974606462
entrez gene/locuslink:856864,0.46357308584686774,1.6478067828588185e-05,38.0,0.012390738331776915
entrez gene/locuslink:854487,0.46403963768676937,0.0002811577627848685,203.0,0.037853031035134564
entrez gene/locuslink:856603,0.4659152739992227,6.048886988128806e-05,90.0,0.02147903735532236
entrez gene/locuslink:853048,0.46725912067352665,3.517511441315665e-05,52.0,0.0156979060367421
entrez gene/locuslink:850553,0.4552635576484885,2.8886532660585195e-06,13.0,0.00546226390185491
entrez gene/locuslink:856870,0.4844027800226281,0.0004958415412844473,175.0,0.028963420160012857
entrez gene/locuslink:853641,0.45836200963523743,3.24975718891819e-05,40.0,0.00799884120285306
entrez gene/locuslink:852885,0.46598771670683353,1.7350539553198332e-05,39.0,0.011578572712237015
entrez gene/locuslink:853364,0.461183350003847,2.2473532687634843e-05,60.0,0.014047087776188034
entrez gene/locuslink:851100,0.4703389830508475,3.7785337718458963e-05,47.0,0.015174922128012696
entrez gene/locuslink:854418,0.48299758259468173,0.00047650853846697397,204.0,0.030251229170648684
entrez gene/locuslink:851771,0.5012543903662819,0.0018788359634808753,484.0,0.0696857965664595
entrez gene/locuslink:855841,0.47394639044832765,0.001190823428165891,386.0,0.054874984894693675
entrez gene/locuslink:856499,0.471671388101983,6.702457365053028e-05,92.0,0.02006769666899079
entrez gene/locuslink:851962,0.4746970776906629,1.4965834685423807e-05,42.0,0.012467628632981556
entrez gene/locuslink:855616,0.4701545219232881,7.29175869571696e-05,83.0,0.014639653884832488
entrez gene/locuslink:851934,0.4660601819454164,2.5817753818071644e-05,45.0,0.011548592609305032
entrez gene/locuslink:856696,0.4582919183423809,2.8956171903399424e-06,22.0,0.007839369871696755
entrez gene/locuslink:856490,0.47185704164370623,7.770980463673055e-06,37.0,0.011833632172294885
entrez gene/locuslink:852937,0.4633222540001546,1.7432043863141392e-06,11.0,0.006497055277784254
entrez gene/locuslink:850963,0.48401162790697677,0.00014199970644100728,95.0,0.02175121159666579
entrez gene/locuslink:853112,0.4752616555661275,1.3037705118254801e-05,20.0,0.009455910268442377
entrez gene/locuslink:851014,0.45282163632242955,5.121396244002775e-06,20.0,0.00625753642419791
entrez gene/locuslink:856463,0.45658135283363804,1.6433407782905218e-05,89.0,0.02204880601619398
entrez gene/locuslink:854078,0.46114786890290815,6.39198150215285e-05,102.0,0.026614370964106477
entrez gene/locuslink:850982,0.47383399209486166,2.2637528273845716e-05,58.0,0.0194294824875083
entrez gene/locuslink:850652,0.4270143192989955,4.6235119797201415e-05,85.0,0.018300792707486427
entrez gene/locuslink:853682,0.47624344509772765,8.438705263917274e-05,124.0,0.031025561915377677
entrez gene/locuslink:855068,0.46890401314245483,0.0001855211157644481,136.0,0.029427738193776115
entrez gene/locuslink:855335,0.4749227478012836,0.00012141479876785905,141.0,0.032003939446237015
entrez gene/locuslink:851208,0.47226599432713523,1.1314215216705114e-05,39.0,0.01572367436515532
entrez gene/locuslink:855890,0.4751109701965758,5.476863143664969e-05,65.0,0.01889628212891555
entrez gene/locuslink:856012,0.467769626970501,0.00011477373922734903,159.0,0.03563935429878505
entrez gene/locuslink:856719,0.44446092243808394,3.1262997811575867e-06,40.0,0.01240513071750455
entrez gene/locuslink:855664,0.4668951550085683,9.472418717060617e-05,119.0,0.027837029668315052
entrez gene/locuslink:856063,0.457033930613801,0.00010177178028513494,106.0,0.026247660404820145
entrez gene/locuslink:852995,0.46540880503144655,0.0002065463171412478,150.0,0.031222885339789667
entrez gene/locuslink:852767,0.44403289132528334,3.411319001795242e-05,89.0,0.01971398728782087
entrez gene/locuslink:856488,0.46271421954608616,1.197215605658435e-05,63.0,0.018971776609650416
entrez gene/locuslink:853956,0.4814457831325301,0.0013265561247230587,298.0,0.05074391726510696
entrez gene/locuslink:850764,0.4703020792467634,6.729510492807338e-05,109.0,0.028037696662334598
entrez gene/locuslink:854673,0.4902666448552266,0.00034856187995841825,239.0,0.04709962555290706
entrez gene/locuslink:853674,0.47863930368122654,7.512032048597937e-05,84.0,0.02418599235572745
entrez gene/locuslink:856401,0.4814457831325301,5.453016436513208e-05,93.0,0.025253935550492417
entrez gene/locuslink:852853,0.48125250903251704,6.446781295670904e-05,97.0,0.02902454498914822
entrez gene/locuslink:852185,0.472117202268431,9.347200950908771e-06,47.0,0.017928818045708776
entrez gene/locuslink:851035,0.48350407356618536,2.3555462102522826e-05,57.0,0.02193557314931061
entrez gene/locuslink:855730,0.4820653048093936,0.0012724476492526823,347.0,0.061312425429697934
entrez gene/locuslink:851660,0.4596978295881586,9.661848532881907e-05,94.0,0.021113020403136864
entrez gene/locuslink:856126,0.4609350968932636,0.00012892815097660914,128.0,0.030097111073947753
entrez gene/locuslink:854446,0.46008596868283697,6.0319465969439076e-05,86.0,0.021653647096554776
entrez gene/locuslink:856485,0.4666043904717422,5.066924212500072e-06,24.0,0.009357074884112495
entrez gene/locuslink:855539,0.4714858805946669,5.071373416726299e-05,63.0,0.015303812250149441
entrez gene/locuslink:856604,0.469528434905217,4.935571506575709e-05,100.0,0.02346162659713459
entrez gene/locuslink:853445,0.46515598323762225,3.886969937189869e-05,69.0,0.017068602956685105
entrez gene/locuslink:851797,0.47477227722772275,2.375254726958875e-05,46.0,0.014244668307538915
entrez gene/locuslink:853064,0.46751423445909057,2.937597401206035e-05,87.0,0.0253303528263775
entrez gene/locuslink:856687,0.46260708497337344,9.388514502626713e-05,77.0,0.02002304854022817
entrez gene/locuslink:853469,0.44878706199460916,5.621924584920775e-06,8.0,0.0034712882092871053
entrez gene/locuslink:855792,0.44788164088769333,8.114520171763262e-06,9.0,0.0036911241865606424
entrez gene/locuslink:850665,0.4292466342022343,3.2054651156316796e-05,19.0,0.00356149641426339
entrez gene/locuslink:851720,0.44531946508172365,9.974761433577838e-05,28.0,0.005461213149400439
entrez gene/locuslink:855020,0.4638600835783934,2.5322640776926683e-06,8.0,0.005203578532962829
entrez gene/locuslink:853601,0.4361493123772102,5.84280328980215e-07,7.0,0.0038494371492064014
entrez gene/locuslink:852748,0.47890699904122724,2.915963832849309e-05,32.0,0.010442920864765514
entrez gene/locuslink:853774,0.47115233453859456,3.965651874002319e-05,31.0,0.009436748586913925
entrez gene/locuslink:853946,0.45895865237366,1.9636460964050256e-05,21.0,0.006645795988594953
entrez gene/locuslink:854220,0.46839102914745645,1.5231346735994462e-05,28.0,0.008005069856593147
entrez gene/locuslink:853639,0.4774193548387097,0.0001140087070427803,41.0,0.010913752446572025
entrez gene/locuslink:854068,0.4787922358015816,0.00016122601982954249,113.0,0.025421508946566015
entrez gene/locuslink:856846,0.4778761061946903,0.00023600710877958494,153.0,0.02986792218716754
entrez gene/locuslink:853910,0.4528558476881233,1.2013927373159276e-05,11.0,0.0044881976351204365
entrez gene/locuslink:853255,0.473796537823097,3.029231491215222e-05,24.0,0.009800402881256238
entrez gene/locuslink:853954,0.45385023093813887,0.0003407270767536208,16.0,0.004661773153089058
entrez gene/locuslink:853222,0.4267710929156283,1.3358484663033602e-05,21.0,0.006109636027573633
entrez gene/locuslink:855125,0.4605455243949289,8.154904036437443e-06,17.0,0.006974806263631286
entrez gene/locuslink:850625,0.4633222540001546,4.918716548726529e-05,63.0,0.01726529756425886
entrez gene/locuslink:852455,0.4679156908665105,7.126016677421762e-06,15.0,0.007817709697124448
entrez gene/locuslink:854666,0.4251365345059933,9.557040349286881e-06,17.0,0.0036454277159899662
entrez gene/locuslink:851018,0.4581868215869133,2.0228362490281996e-05,40.0,0.008810409114251606
entrez gene/locuslink:851494,0.4585724122102364,4.887672132693674e-05,49.0,0.00922879919568558
entrez gene/locuslink:853984,0.4690507864465138,9.888773499660413e-06,15.0,0.007900396421269907
entrez gene/locuslink:851417,0.47643271600031795,2.6765795970559126e-06,9.0,0.006165886736483902
entrez gene/locuslink:854519,0.48668398830789217,7.268376619416212e-05,96.0,0.02684645186667208
entrez gene/locuslink:851173,0.4664228464710917,0.0001217337452810307,37.0,0.009879579637532795
entrez gene/locuslink:850732,0.4654810903160674,3.270304325167593e-05,34.0,0.010080128798446965
entrez gene/locuslink:853123,0.47130051894952035,6.700815124335477e-05,59.0,0.01580418097819142
entrez gene/locuslink:850724,0.3888168137000519,2.713063880588263e-07,5.0,0.0021875677016638473
entrez gene/locuslink:850728,0.4476809321084472,3.5839839828607096e-06,14.0,0.005044155499607188
entrez gene/locuslink:850773,0.4784864692264708,2.589445775199836e-05,19.0,0.009115158392384182
entrez gene/locuslink:850823,0.45759218260935947,5.452970387494746e-06,16.0,0.006516676426989943
entrez gene/locuslink:852235,0.45811678385814736,0.0003095020195665207,120.0,0.01564048473532925
entrez gene/locuslink:850837,0.4706713780918728,0.0005966744662956094,86.0,0.013286553749878152
entrez gene/locuslink:855500,0.4604393916116147,0.00019469378798645678,25.0,0.006304352994852782
entrez gene/locuslink:855439,0.4616095494801694,3.3311718972337354e-05,19.0,0.007077661610646971
entrez gene/locuslink:852560,0.40557547871980515,4.153785385559174e-05,14.0,0.0018347443741122589
entrez gene/locuslink:851200,0.4438356164383562,3.518627297633841e-05,14.0,0.00348547170894444
entrez gene/locuslink:852918,0.4504057709648332,0.00013063299811241075,19.0,0.004185165593781548
entrez gene/locuslink:852263,0.38970157987126974,5.966581015283558e-06,11.0,0.0022884369120611914
entrez gene/locuslink:856459,0.42795944595173496,3.3107527588312935e-05,22.0,0.005196203827369717
entrez gene/locuslink:852089,0.3935911747324184,3.369813235082168e-05,10.0,0.0016518866124664016
entrez gene/locuslink:856919,0.46828125,0.00021403659186588778,103.0,0.013769953531969846
entrez gene/locuslink:856312,0.47387145228871846,6.187593202601053e-05,60.0,0.011059366967014976
entrez gene/locuslink:854985,0.4258312020460358,1.251990100937825e-05,19.0,0.0030512731687701846
entrez gene/locuslink:856760,0.44565055762081784,8.92592082934329e-06,12.0,0.0047246466000022205
entrez gene/locuslink:855461,0.4682446683852824,1.70383555701038e-05,10.0,0.006402323497545364
entrez gene/locuslink:853530,0.4019581545064378,2.2664858103472443e-07,4.0,0.002033950862544919
entrez gene/locuslink:855403,0.44223107569721115,4.854068494566487e-06,27.0,0.008232843925985561
entrez gene/locuslink:852418,0.46989651928504234,1.2935455385739953e-05,38.0,0.015128759642771137
entrez gene/locuslink:853418,0.4862891448969658,0.00032125927716475464,139.0,0.026151846921716904
entrez gene/locuslink:854915,0.46136083743842365,3.062867714716279e-05,64.0,0.016319291024208846
entrez gene/locuslink:856298,0.4210748155953635,8.17566804366245e-06,24.0,0.006673912421355472
entrez gene/locuslink:851485,0.475752043813001,0.0003653653400234274,43.0,0.012623851743680393
entrez gene/locuslink:853056,0.42734920861257664,2.376207908876307e-06,14.0,0.0032999748913763883
entrez gene/locuslink:850930,0.4582218484825319,5.6071946451905915e-05,49.0,0.009079379529834597
entrez gene/locuslink:856723,0.45990946060001536,8.62555966194395e-05,129.0,0.029543387301622974
entrez gene/locuslink:854381,0.46350139189607176,9.802289122388904e-05,143.0,0.031824263559030785
entrez gene/locuslink:850688,0.4164235097957482,2.1304792606720418e-05,69.0,0.014997196820470151
entrez gene/locuslink:850796,0.48129115143728923,6.238449983683729e-05,80.0,0.019597256802579732
entrez gene/locuslink:853271,0.48652597402597403,0.00038165826242553703,99.0,0.01953266420342658
entrez gene/locuslink:856771,0.4564075230335795,1.047747433905465e-05,25.0,0.006550736519616037
entrez gene/locuslink:851205,0.46707706693680356,8.114609975167655e-05,59.0,0.009416779156312288
entrez gene/locuslink:854540,0.44249224863428316,9.975477964808288e-06,16.0,0.0042128394212047685
entrez gene/locuslink:851455,0.4416445623342175,9.427919969182095e-06,21.0,0.005649186610926843
entrez gene/locuslink:851174,0.4,3.8212280501364506e-07,8.0,0.0015183122172687266
entrez gene/locuslink:852462,0.441351888667992,1.911847570113018e-05,25.0,0.007328671309165858
entrez gene/locuslink:851549,0.4657704561348978,0.00016921156228436027,56.0,0.008765088018782969
entrez gene/locuslink:851916,0.4541941350306888,1.628144920411735e-05,35.0,0.006784733839289545
entrez gene/locuslink:854443,0.4756387874940486,9.308910471548123e-05,59.0,0.010991508812360239
entrez gene/locuslink:852122,0.4897458942724079,0.001058860791473639,293.0,0.03790867944005554
entrez gene/locuslink:855075,0.47331017056222363,7.02092569362899e-05,75.0,0.010376310155198075
entrez gene/locuslink:851847,0.4547799696509863,2.2181880280523208e-05,27.0,0.00604499390181925
entrez gene/locuslink:851495,0.4761299547223767,0.0004249074838208666,144.0,0.01884344870251959
entrez gene/locuslink:852939,0.45867768595041325,5.61948776672655e-05,42.0,0.007350479703362967
entrez gene/locuslink:853780,0.46418338108882523,1.321587038588924e-05,46.0,0.013958306007610647
entrez gene/locuslink:853029,0.46128982607357244,8.852970715175107e-05,71.0,0.018113302038405565
entrez gene/locuslink:853335,0.5066351111486772,0.0013493083530821863,454.0,0.07533295412915314
entrez gene/locuslink:856655,0.4468798926414672,9.191089839574775e-06,36.0,0.01122253795091504
entrez gene/locuslink:855977,0.4693446088794926,8.004536164725892e-05,70.0,0.0191840691536754
entrez gene/locuslink:851924,0.46875733166497224,5.371674739382109e-05,86.0,0.0192074646386311
entrez gene/locuslink:855118,0.45152542372881355,2.3143768545368295e-05,60.0,0.015841473888092927
entrez gene/locuslink:851125,0.4655895603542023,5.1891634265639184e-05,84.0,0.01992963460806378
entrez gene/locuslink:850820,0.47215439149271365,9.688872102064624e-06,37.0,0.01301935122936259
entrez gene/locuslink:850422,0.47867752755150933,0.00013459410398522308,130.0,0.02637335936645306
entrez gene/locuslink:850919,0.4723404255319149,5.6252882655292595e-05,63.0,0.016953552697664357
entrez gene/locuslink:853376,0.4453856442264824,1.5199784503437535e-05,51.0,0.011715947080459206
entrez gene/locuslink:852060,0.4657704561348978,4.843295188016038e-05,64.0,0.016093698583866018
entrez gene/locuslink:852982,0.47802855092112606,0.0002502471454490624,143.0,0.028757159473108057
entrez gene/locuslink:850326,0.47719130642464774,0.00018002418200798706,71.0,0.017216286352398517
entrez gene/locuslink:855956,0.46026261230131305,4.136609609340648e-05,45.0,0.00877524229806888
entrez gene/locuslink:855958,0.4676601388780526,6.084973460232342e-05,36.0,0.010645963197407056
entrez gene/locuslink:856433,0.4478481769276748,2.0434542708143616e-07,4.0,0.003527317463285941
entrez gene/locuslink:850304,0.46454312950476634,1.0470551284628615e-05,58.0,0.016981132132887787
entrez gene/locuslink:850551,0.4799423492673553,5.6659524040519726e-05,110.0,0.027880390842713158
entrez gene/locuslink:853860,0.47390891840607213,4.686971525761716e-05,120.0,0.02944873777432965
entrez gene/locuslink:855613,0.4886678623838252,0.0005702183261654386,180.0,0.03782712608782466
entrez gene/locuslink:856863,0.4652281900031046,2.606234858929899e-05,63.0,0.018112899964493417
entrez gene/locuslink:856449,0.4746594868546088,0.00020120270484385563,155.0,0.0339374750687992
entrez gene/locuslink:850695,0.4801730353280461,4.916293482222733e-05,81.0,0.024086913795004546
entrez gene/locuslink:853181,0.4660601819454164,1.0548897160492815e-05,32.0,0.012691064613523198
entrez gene/locuslink:852773,0.4799423492673553,0.00026127246802409995,78.0,0.018876577682159335
entrez gene/locuslink:852606,0.48105939004815407,0.0007670632986200004,114.0,0.022439250070867344
entrez gene/locuslink:853071,0.4954947507646524,0.002027583192387579,340.0,0.04862997943698356
entrez gene/locuslink:856775,0.4448567611696601,6.239832102869843e-06,18.0,0.006615138945982584
entrez gene/locuslink:855865,0.4529585128088869,3.160690710678358e-06,10.0,0.00478144720351056
entrez gene/locuslink:852802,0.4537128150783438,1.983573220669946e-05,53.0,0.01670360080660408
entrez gene/locuslink:856924,0.482803060813532,0.0002929628036987524,133.0,0.026257280299370318
entrez gene/locuslink:851126,0.4700439146800502,2.8408631846555857e-05,51.0,0.015640323959330342
entrez gene/locuslink:856489,0.4717085071220587,0.0002453786610876926,111.0,0.024956429570332176
entrez gene/locuslink:851319,0.4816005142214366,0.00035515057064954095,87.0,0.0244533610885033
entrez gene/locuslink:851313,0.47248935834778494,0.00024026707591315712,101.0,0.023428318142377152
entrez gene/locuslink:853200,0.4678426475179519,4.328434307816054e-06,11.0,0.0066931819788091365
entrez gene/locuslink:855358,0.4344107841716191,2.1999146089199103e-06,13.0,0.005103019520602884
entrez gene/locuslink:850894,0.4707453074687819,0.00014409431512128743,122.0,0.029016144915462987
entrez gene/locuslink:851196,0.47802855092112606,9.480889277164122e-05,95.0,0.025910474189810916
entrez gene/locuslink:853894,0.4670042851577717,8.018979175893813e-06,39.0,0.013569703897099163
entrez gene/locuslink:851632,0.48253099339880856,0.00014490046817419505,160.0,0.0378227239633078
entrez gene/locuslink:855269,0.4911504424778761,0.0005111897012756406,218.0,0.04222785096357994
entrez gene/locuslink:856746,0.4696755994358251,8.048465619889697e-05,95.0,0.02473674556929767
entrez gene/locuslink:854543,0.47639484978540775,0.00010494676920515843,102.0,0.024791290862311296
entrez gene/locuslink:853320,0.46923438233912634,1.6771411002953753e-05,57.0,0.016406794882147448
entrez gene/locuslink:853397,0.4579767726161369,3.674336739564817e-05,75.0,0.01924150560761044
entrez gene/locuslink:851379,0.46693152605749005,9.927305546877049e-06,26.0,0.008232427731517077
entrez gene/locuslink:854034,0.4713375796178344,3.87051507198409e-05,41.0,0.01129511974187387
entrez gene/locuslink:854162,0.4917952084017066,0.0023737643465493734,334.0,0.038510254389723005
entrez gene/locuslink:856249,0.46993335946687576,1.6335170376909225e-05,11.0,0.006485607021424398
entrez gene/locuslink:854079,0.3809826479374563,1.555239795771854e-06,8.0,0.0023549924395887107
entrez gene/locuslink:854417,0.40568527918781727,6.636744696492964e-06,14.0,0.0044500212150519825
entrez gene/locuslink:853347,0.4849514563106796,0.00013156416131894277,73.0,0.016526124668947498
entrez gene/locuslink:854213,0.46682242990654205,0.00015023865988287864,38.0,0.01120330617640128
entrez gene/locuslink:851513,0.4643272135719266,8.262245448283365e-05,73.0,0.011610711297192296
entrez gene/locuslink:850950,0.4711893719047245,0.00013404193100486852,82.0,0.01206593973232648
entrez gene/locuslink:850601,0.47871575752735407,2.4566995529423165e-05,29.0,0.009546249969349194
entrez gene/locuslink:853899,0.4714858805946669,7.65241812587031e-06,19.0,0.008081088031491296
entrez gene/locuslink:851887,0.48874755381604695,0.00024936473911971483,105.0,0.022717550272293437
entrez gene/locuslink:856889,0.46573426573426574,9.976844550028294e-05,66.0,0.012122789224262414
entrez gene/locuslink:856307,0.45853733170134636,7.3949235399712e-05,57.0,0.010750411098411355
entrez gene/locuslink:852702,0.4936990363232024,0.0002029269118724777,132.0,0.032842507717527634
entrez gene/locuslink:853318,0.49378037729631763,0.0015518951545637463,267.0,0.03718728213339437
entrez gene/locuslink:850440,0.5020941531244765,0.0028932095971549118,463.0,0.058882743333240936
entrez gene/locuslink:852945,0.4750733137829912,1.516650187126936e-05,51.0,0.017444280691275967
entrez gene/locuslink:851159,0.47462190197165255,0.00015834296716862235,68.0,0.012506124669306428
entrez gene/locuslink:851984,0.47263838511275824,0.00043199443945011985,50.0,0.01049544904872297
entrez gene/locuslink:855310,0.4487534626038781,2.3271532851935635e-05,15.0,0.005268723861363872
entrez gene/locuslink:852084,0.47263838511275824,2.96494615309634e-05,42.0,0.009983253983764971
entrez gene/locuslink:852344,0.4682080924855491,0.00013315420512255644,83.0,0.01281764294375084
entrez gene/locuslink:851548,0.47860108591504313,0.0003883687525829625,188.0,0.036627515050103455
entrez gene/locuslink:851695,0.4154134035622704,5.944164035598741e-07,10.0,0.0038668966768481555
entrez gene/locuslink:854379,0.489266182352461,0.0004887720566731967,185.0,0.035242681764398494
entrez gene/locuslink:852039,0.475752043813001,3.580214104610645e-05,68.0,0.021261438972220464
entrez gene/locuslink:856912,0.5002921292045739,0.0006884608629572994,228.0,0.04483588829550273
entrez gene/locuslink:856610,0.4807507218479307,5.135290488246801e-05,58.0,0.020488464554164757
entrez gene/locuslink:852451,0.4773053033922599,8.21431606974202e-05,91.0,0.021338636513244302
entrez gene/locuslink:853603,0.4715229704216488,2.1316325387038223e-05,38.0,0.010335652873340711
entrez gene/locuslink:854026,0.48245331616226655,0.00011743486347332782,122.0,0.02746478737925331
entrez gene/locuslink:851431,0.48191027496382055,0.0003825412442965262,162.0,0.029239397706450947
entrez gene/locuslink:853303,0.47185704164370623,0.0001341079362372468,91.0,0.01979887086474526
entrez gene/locuslink:854156,0.4790601023017903,7.783611412556026e-05,59.0,0.016400386170639627
entrez gene/locuslink:850951,0.4910297370361268,0.0002763521249529709,144.0,0.034390484825436746
